index,rating,text,date,dateDisplay,helpfulCount
0,2,some bugs are showing in the app. in the Bank account every transaction shows double double and also counting the double entry.,2026-04-24T13:06:12,"April 24, 2026",0
1,4,why auto pay is not working,2026-04-24T11:53:30,"April 24, 2026",0
2,1,"Interface is complex and not good. you cannot increase font size. Even if you increase phone font or zoom setting, it will not reflect here. Even after complaining, it is not implemented.",2026-04-24T11:34:20,"April 24, 2026",0
3,1,"Don't invest in US stocks via INDMoney. Very bad customer support. I initiated transaction for 25K, but it never reached by trading account. I am still waiting for it to be credited from more than 3 weeks. Customer support behaves irresponsibly, repeating same line again and again saying we are following up. update: INDMONEY is still a junk app putting customer in loop of various tickets without completing required work, it's been more than a month still no solution.",2026-04-24T09:59:16,"April 24, 2026",5
4,1,"They play a trick, just to make sure that you won't get referral amout they won't allow you to add money to wallet till 24 hours so that, given time for referal amount gets completed. faltu app, do not use",2026-04-24T08:01:03,"April 24, 2026",0
5,2,"customer support is poor; multiple attempts at depositing funds from a funded account, in which the first deposit was successhul remains mysterious and unsolved, customer support is invisible. Any help will be appreciated",2026-04-24T06:32:00,"April 24, 2026",0
6,5,great apps in my digital account 😃,2026-04-23T11:23:41,"April 23, 2026",0
7,3,too many notifications which can't be switched off,2026-04-23T10:30:01,"April 23, 2026",0
8,1,"don't open any account on this app. I opened an account on this app for daily savings, then they introduced min balance charges etc. At first they mentioned it's a zero charge account bla bla bla.",2026-04-23T02:44:54,"April 23, 2026",0
9,2,"I loved the user interface up until today. but for some reason, they changed the background colour of the chart, and moved the overview and other quick categories to a scroll option. and the buy and sell became much smaller and this is annoying during intraday. absolutely horrendous ui decision making",2026-04-23T01:07:13,"April 23, 2026",0
10,1,i cannot delete my ind money demat account.,2026-04-22T23:53:29,"April 22, 2026",0
11,5,"Dear INDmoney, you’ve made instant withdrawal feel like magic! 💸 No waiting, no tension—just one tap and money lands in my bank. Your smooth trading experience + superfast Insta-Withdrawal = pure love. Best decision ever to trade with you. Thank you for treating my money with such speed and care. You’ve earned a lifelong fan!",2026-04-22T23:02:19,"April 22, 2026",0
12,2,Old interface was good. Now with white background for charts and information in multiple tabs is very confusing. Earlier it used to show total quantity (holdings plus positions) at the top on the chart. Now there is no such information.,2026-04-22T22:45:07,"April 22, 2026",0
13,5,Great app but there should be option to customise homepage to see only what is needed,2026-04-22T18:55:05,"April 22, 2026",0
14,2,Some much needed functions are missing 1. Stop Loss and Target sell price can't be placed in one single order. 2. Market Order Depth i.e. top 5 bid-ask quotes function is missing for US stocks. Please add these in the next update,2026-04-22T10:07:52,"April 22, 2026",0
